 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 88 , Punjab , NA-89 , Mianwali-I , 17 , 419 , IND-PTI , Jamal Ahsan Khan ," 296,652 "," 268,785 "," 565,437 "," 169,220 "," 138,867 "," 308,087 "," 300,394 "," 7,693 ", 54 , 57 , 52 ," 15,836 ", -   ," 217,427 "," 34,068 "," 11,864 ", 151 ," 1,699 ", -   ," 1,627 "," 16,341 ", -   , -   , -   , -   , -   , -   , -   , 736 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 274 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 371 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 89 , Punjab , NA-90 , Mianwali-II , 16 , 369 , IND-PTI , Umair Khan Niazi ," 263,637 "," 239,448 "," 503,085 "," 166,982 "," 125,825 "," 292,807 "," 284,580 "," 8,227 ", 58 , 63 , 53 ," 30,510 ", -   ," 179,820 "," 51,223 "," 6,976 ", -   , -   , -   ," 2,813 "," 12,686 ", -   , -   , -   , -   , -   , -   , -   , 552 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 90 , Punjab , NA-91 , Bhakhar-I , 17 , 375 , IND-PTI , M Sanaullah Khan ," 269,470 "," 239,948 "," 509,418 "," 183,294 "," 137,276 "," 320,570 "," 307,057 "," 13,513 ", 63 , 68 , 57 ," 98,985 ", -   ," 106,003 "," 85,429 "," 3,434 ", -   , -   , -   ," 2,085 "," 9,486 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 920 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 715 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 91 , Punjab , NA-92 , Bhakhar-II , 14 , 392 , IND , Rasheed Akbar Khan ," 281,776 "," 251,490 "," 533,266 "," 200,833 "," 158,475 "," 359,308 "," 347,558 "," 11,750 ", 67 , 71 , 63 ," 144,708 "," 142,761 "," 38,748 ", -   ," 3,424 ", -   ," 3,531 ", -   ," 1,078 "," 13,308 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 92 , Punjab , NA-93 , Chiniot-I , 14 , 313 , IND-PTI , Ghulam Muhammad ," 230,867 "," 206,174 "," 437,041 "," 135,738 "," 102,225 "," 237,963 "," 228,744 "," 9,219 ", 54 , 59 , 50 ," 107,147 ", -   ," 94,355 "," 13,485 "," 4,333 ", -   , -   , -   ," 1,008 "," 6,561 ", -   , -   , -   , -   , -   , -   , -   , 782 , -   , 412 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 661 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 93 , Punjab , NA-94 , Chiniot-II , 21 , 303 , PML(N) , Qaiser Ahmad Sheikh ," 237,953 "," 209,585 "," 447,538 "," 148,229 "," 107,866 "," 256,095 "," 248,293 "," 7,802 ", 57 , 62 , 51 ," 9,148 ", -   ," 72,274 "," 79,546 "," 69,368 ", -   , -   , 143 ," 1,278 "," 13,766 ", -   , -   , -   , -   , -   , -   , -   ," 1,035 ", -   , -   , -   , -   , -   ," 1,735 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 94 , Punjab , NA-95 , Faisalabad-I , 25 , 323 , IND-PTI , Ali Afzal Sahi ," 277,868 "," 236,773 "," 514,641 "," 166,567 "," 118,607 "," 285,174 "," 278,347 "," 6,827 ", 55 , 60 , 50 ," 8,279 ", -   ," 144,761 "," 93,938 "," 8,790 ", -   , -   , -   ," 1,136 "," 19,128 ", -   , -   , -   , -   , -   , -   , -   ," 1,242 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,073 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 95 , Punjab , NA-96 , Faisalabad-II , 24 , 345 , IND-PTI , Ray Haider Ali ," 302,469 "," 260,422 "," 562,891 "," 167,733 "," 113,041 "," 280,774 "," 274,676 "," 6,098 ", 50 , 55 , 43 ," 6,839 ", -   ," 134,485 "," 92,504 "," 12,327 ", -   , -   , -   ," 5,205 "," 18,477 ", -   , -   , -   , -   , -   , -   , -   ," 4,340 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 206 , -   , -   , -   , 293 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 96 , Punjab , NA-97 , Faisalabad-III , 22 , 341 , IND-PTI , M Saad Ullah ," 272,265 "," 219,438 "," 491,703 "," 148,749 "," 102,858 "," 251,607 "," 242,133 "," 9,474 ", 51 , 55 , 47 ," 15,912 ", -   ," 72,614 "," 70,311 "," 32,646 ", 989 , -   , -   ," 6,887 "," 10,439 ", -   ," 30,435 ", -   , -   , -   , -   , -   ," 1,623 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 277 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 97 , Punjab , NA-98 , Faisalabad-IV , 20 , 378 , PML(N) , Ch M Shahbaz Babar ," 312,431 "," 267,026 "," 579,457 "," 167,983 "," 126,313 "," 294,296 "," 285,585 "," 8,711 ", 51 , 54 , 47 ," 10,680 ", -   ," 105,434 "," 119,443 "," 29,409 ", -   , -   , -   ," 2,722 "," 15,591 ", -   , -   , -   , -   , -   , -   , -   ," 1,923 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 383 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 98 , Punjab , NA-99 , Faisalabad-V , 25 , 392 , IND-PTI , Umar Farooq ," 265,019 "," 226,418 "," 491,437 "," 151,436 "," 107,704 "," 259,140 "," 249,487 "," 9,653 ", 53 , 57 , 48 ," 21,823 ", -   ," 120,686 "," 80,377 "," 3,794 ", -   , -   , -   ," 2,809 "," 15,096 ", -   , -   , -   , -   , -   , -   , -   ," 4,134 ", -   , -   , -   , -   , -   , -   , -   , -   , 768 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 99 , Punjab , NA-100 , Faisalabad-VI , 15 , 377 , IND-PTI , Nisar Ahmad ," 274,365 "," 233,515 "," 507,880 "," 166,194 "," 114,433 "," 280,627 "," 275,022 "," 5,605 ", 55 , 61 , 49 ," 4,645 ", -   ," 131,941 "," 112,639 "," 7,055 ", -   , -   , -   ," 2,195 "," 14,744 ", -   , -   , -   , -   , -   , -   , -   ," 1,803 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 100 , Punjab , NA-101 , Faisalabad-VII , 33 , 393 , IND-PTI , Rana Atif ," 280,093 "," 254,988 "," 535,081 "," 156,199 "," 109,636 "," 265,835 "," 259,009 "," 6,826 ", 50 , 56 , 43 ," 15,131 ", -   ," 134,840 "," 89,571 ", -   , -   , -   , -   ," 5,979 "," 11,444 ", -   , -   , -   , -   , -   , -   , -   ," 1,685 ", -   , -   , -   , -   , -   , -   , -   , -   , 359 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 101 , Punjab , NA-102 , Faisalabad-VIII , 40 , 377 , IND-PTI , Changez Khan Kakar ," 288,702 "," 252,951 "," 541,653 "," 158,436 "," 106,290 "," 264,726 "," 259,655 "," 5,071 ", 49 , 55 , 42 ," 9,531 ", -   ," 132,526 "," 100,320 "," 3,377 ", -   , -   , -   ," 2,728 "," 9,404 ", -   , -   , -   , -   , -   , -   , -   ," 1,419 ", -   , -   , -   , -   , -   , -   , -   , -   , 314 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 102 , Punjab , NA-103 , Faisalabad-IX , 45 , 386 , IND-PTI , M Ali Sarfraz ," 289,239 "," 255,399 "," 544,638 "," 158,485 "," 104,323 "," 262,808 "," 259,161 "," 3,647 ", 48 , 55 , 41 ," 4,560 ", -   ," 147,734 "," 86,662 "," 3,224 ", 145 , -   , -   ," 3,090 "," 11,833 ", -   , -   , -   , -   , -   , -   , -   ," 1,694 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31 , -   , -   , -   , -   , -   , 188 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 103 , Punjab , NA-104 , Faisalabad-X , 28 , 375 , IND-PTI , Sahibzada Hamid Raza ," 278,634 "," 249,884 "," 528,518 "," 156,143 "," 105,904 "," 262,047 "," 257,744 "," 4,303 ", 50 , 56 , 42 ," 12,092 ", -   ," 128,687 "," 92,594 "," 3,483 ", -   , -   , -   ," 3,201 "," 14,651 ", -   , -   , -   , -   , -   , -   , -   ," 2,638 ", -   , -   , -   , -   , -   , -   , -   , -   , 312 , -   , -   , -   , -   , 86 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 104 , Punjab , NA-105 , T.T Singh-I , 17 , 395 , IND-PTI , Usama Hamza ," 275,111 "," 238,746 "," 513,857 "," 160,696 "," 130,139 "," 290,835 "," 284,957 "," 5,878 ", 57 , 58 , 55 ," 6,999 ", -   ," 138,194 "," 107,840 "," 3,249 ", -   , -   , -   ," 3,818 "," 14,982 ", -   , -   , -   , -   , -   , -   , -   ," 1,266 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 71 , -   , -   , -   , -   , -   , -   , -   , -   ," 8,538 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 105 , Punjab , NA-106 , T.T Singh-II , 16 , 432 , PML(N) , M Junaid Anwar ," 293,050 "," 259,576 "," 552,626 "," 175,782 "," 138,101 "," 313,883 "," 306,359 "," 7,524 ", 57 , 60 , 53 ," 11,303 ", -   ," 136,924 "," 137,629 "," 3,357 ", -   , -   , -   ," 3,953 "," 11,306 ", -   , -   , -   , -   , -   , -   , -   ," 1,777 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 110 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 106 , Punjab , NA-107 , T.T Singh-III , 26 , 401 , IND-PTI , M Riaz Khan ," 272,689 "," 237,098 "," 509,787 "," 164,542 "," 131,864 "," 296,406 "," 285,324 "," 11,082 ", 58 , 60 , 56 ," 39,199 ", -   ," 128,870 "," 95,575 "," 3,769 ", -   , -   , -   , 747 ," 14,375 ", -   , -   , -   , -   , -   , -   , -   ," 2,789 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 107 , Punjab , NA-108 , Jhang – I , 17 , 458 , IND-PTI , Mehboob Sultan ," 311,967 "," 270,537 "," 582,504 "," 196,016 "," 149,543 "," 345,559 "," 334,765 "," 10,794 ", 59 , 63 , 55 ," 25,086 ", -   ," 169,578 "," 134,270 "," 3,651 ", -   ," 3,451 ", -   , -   ," 5,918 ", -   , -   , -   , -   , -   , -   , -   ," 2,076 ", -   , -   , -   , -   , -   , -   , -   , -   , 591 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 144 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 108 , Punjab , NA-109 , Jhang – II , 21 , 449 , IND-PTI , Waqas Akram ," 314,700 "," 278,322 "," 593,022 "," 176,506 "," 131,878 "," 308,384 "," 299,456 "," 8,928 ", 52 , 56 , 47 ," 9,799 ", -   ," 176,586 "," 61,787 "," 3,255 ", -   , -   , -   ," 2,401 "," 7,316 ", -   , -   , -   , -   , -   , -   , -   ," 1,676 ", -   , -   , -   , -   , -   ," 36,573 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 63 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 109 , Punjab , NA-110 , Jhang – III , 15 , 430 , IND-PTI , Ameer Sultan ," 309,388 "," 269,085 "," 578,473 "," 195,801 "," 154,635 "," 350,436 "," 339,331 "," 11,105 ", 61 , 63 , 57 ," 24,981 ", -   ," 199,590 "," 104,171 "," 3,065 ", -   , -   , -   , -   ," 6,964 ", -   , -   , -   , -   , -   , -   , -   , 560 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 110 , Punjab , NA-111 , Nankhana Sahib-I , 19 , 331 , IND-PTI , M Arshad Sahi ," 259,168 "," 223,178 "," 482,346 "," 146,014 "," 109,093 "," 255,107 "," 248,133 "," 6,974 ", 53 , 56 , 49 ," 7,403 ", -   ," 113,709 "," 93,467 "," 4,530 ", -   , -   , -   ," 2,527 "," 25,345 ", -   , -   , -   , -   , -   , -   , -   ," 1,152 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 111 , Punjab , NA-112 , Nankhana Sahib-II , 14 , 339 , PML(N) , Shazra Mansab Ali ," 255,499 "," 208,219 "," 463,718 "," 149,992 "," 102,487 "," 252,479 "," 244,447 "," 8,032 ", 54 , 59 , 49 ," 9,783 ", -   ," 93,316 "," 105,646 "," 13,449 ", 164 , -   , -   , 892 ," 20,894 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 303 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 112 , Punjab , NA-113 , Sheikhupura-I , 15 , 362 , PML(N) , Ahmad Atiq Anwar ," 296,028 "," 238,953 "," 534,981 "," 164,205 "," 102,637 "," 266,842 "," 258,993 "," 7,849 ", 50 , 55 , 43 ," 13,639 ", -   ," 90,872 "," 119,407 "," 6,404 ", -   , -   , -   ," 1,642 "," 26,257 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 772 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 113 , Punjab , NA-114 , Sheikhupura-II , 21 , 301 , PML(N) , Rana Tanveer Hussain ," 247,145 "," 202,592 "," 449,737 "," 140,416 "," 93,100 "," 233,516 "," 228,600 "," 4,916 ", 52 , 57 , 46 ," 6,003 ", -   ," 82,026 "," 100,039 ", -   , -   ," 1,127 ", -   ," 1,122 "," 37,329 ", -   , -   , -   , -   , -   , -   , -   , 795 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 159 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 114 , Punjab , NA-115 , Sheikhupura-III , 27 , 354 , IND-PTI , Khurram Shahzad Virk ," 296,734 "," 249,528 "," 546,262 "," 163,398 "," 111,591 "," 274,989 "," 268,534 "," 6,455 ", 50 , 55 , 45 ," 8,136 ", -   ," 130,255 "," 94,144 "," 3,129 ", -   , -   , -   ," 2,164 "," 28,956 ", -   , -   , -   , -   , -   , -   , -   ," 1,270 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 414 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 66 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
